Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
usernresetpass,Chrome 125.0.0.0,,,07-06-2024 14:57:03,07-06-2024 14:57:26,23.618s,PASSED
,,,,,,,
Test Cases/Login,Chrome 125.0.0.0,,,07-06-2024 14:57:03,07-06-2024 14:57:20,16.895s,PASSED
"openBrowser(""https://gpstqa-new.dipostar.org/dipo/"")",Chrome 125.0.0.0,,,07-06-2024 14:57:03,07-06-2024 14:57:12,9.160s,PASSED
"setText(findTestObject(""Page_Home/input__username""), ""aldo"")",Chrome 125.0.0.0,,,07-06-2024 14:57:12,07-06-2024 14:57:13,0.879s,PASSED
"setEncryptedText(findTestObject(""Page_Home/input__password""), ""TRrAuhBZTmGN3YbeoZ5Gng=="")",Chrome 125.0.0.0,,,07-06-2024 14:57:13,07-06-2024 14:57:14,0.354s,PASSED
"click(findTestObject(""Page_Home/btn_Login""))",Chrome 125.0.0.0,,,07-06-2024 14:57:14,07-06-2024 14:57:14,0.353s,PASSED
"takeScreenshotAsCheckpoint(""login berhasil"", STOP_ON_FAILURE)",Chrome 125.0.0.0,,,07-06-2024 14:57:14,07-06-2024 14:57:20,5.872s,PASSED
,,,,,,,
Test Cases/user management,Chrome 125.0.0.0,,,07-06-2024 14:57:20,07-06-2024 14:57:26,6.548s,PASSED
"click(findTestObject(""usermanagement/User Management""))",Chrome 125.0.0.0,,,07-06-2024 14:57:20,07-06-2024 14:57:20,0.360s,PASSED
"takeScreenshotAsCheckpoint(""menampilkan hal user management"")",Chrome 125.0.0.0,,,07-06-2024 14:57:20,07-06-2024 14:57:23,2.978s,PASSED
"click(findTestObject(""Reset password/reset password""))",Chrome 125.0.0.0,,,07-06-2024 14:57:23,07-06-2024 14:57:24,0.291s,PASSED
"takeScreenshotAsCheckpoint(""menampilkan hal reset pass"", STOP_ON_FAILURE)",Chrome 125.0.0.0,,,07-06-2024 14:57:24,07-06-2024 14:57:26,2.816s,PASSED
