Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Task Adjusment,Chrome 125.0.0.0,,,11-06-2024 13:35:18,11-06-2024 13:36:30,1m - 11.586s,PASSED
,,,,,,,
Test Cases/Logi/Login,Chrome 125.0.0.0,,,11-06-2024 13:35:19,11-06-2024 13:35:53,34.620s,PASSED
"openBrowser(""https://gpstqa-new.dipostar.org/dipo/"")",Chrome 125.0.0.0,,,11-06-2024 13:35:19,11-06-2024 13:35:31,11.988s,PASSED
maximizeWindow(),Chrome 125.0.0.0,,,11-06-2024 13:35:31,11-06-2024 13:35:31,0.057s,PASSED
"setText(findTestObject(""Home page/input__username""), ""aldo"")",Chrome 125.0.0.0,,,11-06-2024 13:35:31,11-06-2024 13:35:32,0.864s,PASSED
"setEncryptedText(findTestObject(""Home page/input__password""), ""TRrAuhBZTmGN3YbeoZ5Gng=="")",Chrome 125.0.0.0,,,11-06-2024 13:35:32,11-06-2024 13:35:32,0.406s,PASSED
"click(findTestObject(""Home page/btn_Login""))",Chrome 125.0.0.0,,,11-06-2024 13:35:32,11-06-2024 13:35:33,0.407s,PASSED
"takeScreenshotAsCheckpoint(""login berhasil"", STOP_ON_FAILURE)",Chrome 125.0.0.0,,,11-06-2024 13:35:33,11-06-2024 13:35:53,20.342s,PASSED
,,,,,,,
Test Cases/Task/Task Adjusment,Chrome 125.0.0.0,,,11-06-2024 13:36:00,11-06-2024 13:36:30,29.668s,PASSED
"click(findTestObject(""Menu/Task""))",Chrome 125.0.0.0,,,11-06-2024 13:36:00,11-06-2024 13:36:01,0.357s,PASSED
"click(findTestObject(""Task Adjusment/Task Adjusment""))",Chrome 125.0.0.0,,,11-06-2024 13:36:01,11-06-2024 13:36:01,0.425s,PASSED
"click(findTestObject(""Task Adjusment/Regional/Choose regional""))",Chrome 125.0.0.0,,,11-06-2024 13:36:01,11-06-2024 13:36:04,3.381s,PASSED
"setText(findTestObject(""Task Adjusment/Regional/Search regional""), ""West Java"")",Chrome 125.0.0.0,,,11-06-2024 13:36:04,11-06-2024 13:36:08,3.262s,PASSED
"click(findTestObject(""Task Adjusment/Regional/Btn search""))",Chrome 125.0.0.0,,,11-06-2024 13:36:08,11-06-2024 13:36:08,0.362s,PASSED
"click(findTestObject(""Task Adjusment/Regional/btn west java""))",Chrome 125.0.0.0,,,11-06-2024 13:36:08,11-06-2024 13:36:10,1.950s,PASSED
"click(findTestObject(""Task Adjusment/Branch/choose branch""))",Chrome 125.0.0.0,,,11-06-2024 13:36:10,11-06-2024 13:36:13,3.038s,PASSED
"setText(findTestObject(""Task Adjusment/Branch/search branch""), ""bandung"")",Chrome 125.0.0.0,,,11-06-2024 13:36:13,11-06-2024 13:36:16,3.198s,PASSED
"click(findTestObject(""Task Adjusment/Branch/btn search""))",Chrome 125.0.0.0,,,11-06-2024 13:36:16,11-06-2024 13:36:17,0.406s,PASSED
"click(findTestObject(""Task Adjusment/Branch/btn bandung""))",Chrome 125.0.0.0,,,11-06-2024 13:36:17,11-06-2024 13:36:18,1.764s,PASSED
"click(findTestObject(""Task Adjusment/Field Collector/Choose collector""))",Chrome 125.0.0.0,,,11-06-2024 13:36:18,11-06-2024 13:36:21,2.778s,PASSED
"setText(findTestObject(""Task Adjusment/Field Collector/text search""), ""Chairul Amran"")",Chrome 125.0.0.0,,,11-06-2024 13:36:21,11-06-2024 13:36:25,3.410s,PASSED
"click(findTestObject(""Task Adjusment/Field Collector/btn search""))",Chrome 125.0.0.0,,,11-06-2024 13:36:25,11-06-2024 13:36:25,0.285s,PASSED
"click(findTestObject(""Task Adjusment/Field Collector/chairul""))",Chrome 125.0.0.0,,,11-06-2024 13:36:25,11-06-2024 13:36:27,1.836s,PASSED
"takeScreenshotAsCheckpoint(""Menampilkan pencarian yg di cari"")",Chrome 125.0.0.0,,,11-06-2024 13:36:27,11-06-2024 13:36:30,3.164s,PASSED
