Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
User management,Chrome 126.0.0.0,,,19-06-2024 13:32:16,19-06-2024 13:33:13,57.499s,PASSED
,,,,,,,
Test Cases/Login/Login,Chrome 126.0.0.0,,,19-06-2024 13:32:16,19-06-2024 13:32:48,31.910s,PASSED
"openBrowser(""https://gpstqa-new.dipostar.org/dipo/"")",Chrome 126.0.0.0,,,19-06-2024 13:32:17,19-06-2024 13:32:26,9.431s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,19-06-2024 13:32:26,19-06-2024 13:32:27,0.323s,PASSED
"setText(findTestObject(""Home page/input__username""), ""aldo"")",Chrome 126.0.0.0,,,19-06-2024 13:32:27,19-06-2024 13:32:28,1.044s,PASSED
"setEncryptedText(findTestObject(""Home page/input__password""), ""TRrAuhBZTmGN3YbeoZ5Gng=="")",Chrome 126.0.0.0,,,19-06-2024 13:32:28,19-06-2024 13:32:28,0.493s,PASSED
"click(findTestObject(""Home page/btn_Login""))",Chrome 126.0.0.0,,,19-06-2024 13:32:28,19-06-2024 13:32:29,0.433s,PASSED
"takeScreenshotAsCheckpoint(""login berhasil"", STOP_ON_FAILURE)",Chrome 126.0.0.0,,,19-06-2024 13:32:29,19-06-2024 13:32:48,19.530s,PASSED
,,,,,,,
Test Cases/User profile/user management,Chrome 126.0.0.0,,,19-06-2024 13:33:00,19-06-2024 13:33:13,13.540s,PASSED
"click(findTestObject(""usermanagement/user profile""))",Chrome 126.0.0.0,,,19-06-2024 13:33:00,19-06-2024 13:33:00,0.292s,PASSED
"click(findTestObject(""usermanagement/User Management""))",Chrome 126.0.0.0,,,19-06-2024 13:33:00,19-06-2024 13:33:00,0.286s,PASSED
"takeScreenshotAsCheckpoint(""menampilkan hal user management"")",Chrome 126.0.0.0,,,19-06-2024 13:33:00,19-06-2024 13:33:06,5.241s,PASSED
"click(findTestObject(""Reset password/reset password""))",Chrome 126.0.0.0,,,19-06-2024 13:33:06,19-06-2024 13:33:06,0.356s,PASSED
"takeScreenshotAsCheckpoint(""menampilkan hal reset pass"", STOP_ON_FAILURE)",Chrome 126.0.0.0,,,19-06-2024 13:33:06,19-06-2024 13:33:09,3.404s,PASSED
"click(findTestObject(""Change pass/change password""))",Chrome 126.0.0.0,,,19-06-2024 13:33:09,19-06-2024 13:33:10,0.404s,PASSED
"takeScreenshotAsCheckpoint(""menampilkan hal change password"")",Chrome 126.0.0.0,,,19-06-2024 13:33:10,19-06-2024 13:33:13,3.541s,PASSED
